csv_post_title,csv_post_post,csv_post_type,csv_post_excerpt,csv_post_categories,csv_post_tags,csv_post_date,desc,link,picture
Clarisonic 声波洗脸刷娇嫩肌肤版替换刷头(2个装) $20.23,,post,Clarisonic 声波洗脸刷娇嫩肌肤版替换刷头(2个装) $20.23,csvtest,,now,购买了Clarisonic声波洗脸刷的JM们注意了，现在这套洗脸刷替换刷头有新低价啦！两个装娇嫩肌肤Delicate Skin版仅售$20.23，购满$25或亚马逊高级会员免运费。快抢啊！这款适合敏感脆弱的肌肤使用，非常轻柔，不会损伤肌肤。还有普通版、深层清洁版可选择。考虑到卫生安全以及为了达到最好效果，小编建议三个月换一次刷头。没有特价时会卖到$40左右，屯货也是省钱的王道之一！[Shop Now],http://www.amazon.com/gp/product/B004BQA0EU/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B004BQA0EU&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B004BQA0EU&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
"创新低！古驰 Gucci YA101313 镶钻粉红色女式腕表 $3,527.27",,post,"创新低！古驰 Gucci YA101313 镶钻粉红色女式腕表 $3,527.27",csvtest,,now,"亚马逊官网直销！原价$4,595.00的此款古驰 Gucci YA101313 镶钻石粉红色鳄鱼皮表带女式腕表，现特价$4,168.17(9%off)$3,596.28(22%off)$3,527.27(23%off)，免运费及退运费。创历史新低！Gucci提供两年质保！Gucci古驰—世界上最时尚的品牌之一，意大利最大的时装集团。由古驰奥·古驰在 1921 年于佛罗伦斯创办。古驰产品包括时装、皮具、皮鞋、手表、领带、丝巾、香水、家居用品及宠物用品等，中文译作古琦、古驰。古琦品牌时装一向以高档、豪 华、性感而闻名于世，以“身份与财富之象征”品牌形象成为富有的上流社会的消费宠儿，一向被商界人士垂青，时尚之余不失高雅。亚马逊此款女士奢华腕表，型号：YA101313。采用瑞士制造ETA机芯，带有防反光涂层防刮的蓝宝石水晶表镜，抛光不锈钢表壳，镶54颗钻石，总重0.78克拉，表壳直径：44毫米，粉红色鳄鱼皮表带，针式表扣，粉红色雕纹表盘，防水30米。[Shop Now]",http://www.amazon.com/gp/product/B004X23742/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B004X23742&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B004X23742&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
再降！Zojirushi日本象印品牌NS-TSC10 5-1/2杯微电脑电饭煲 $144.48免运费,,post,再降！Zojirushi日本象印品牌NS-TSC10 5-1/2杯微电脑电饭煲 $144.48免运费,csvtest,,now,原价$192.00的Zojirushi日本象印品牌NS-TSC10 5-1/2杯微电脑电饭煲 现打折后仅售$$157.96$149.99$144.48免运费。购买时请选择卖家“M.V. Trading Co.”。使用微电脑智能科技，可以自动保温，还可设置为循环加热。带有2个定时延迟煮饭设置。不粘锅内层，便于清洁。[Shop Now],http://www.amazon.com/gp/product/B0074CDG6C/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B0074CDG6C&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B0074CDG6C&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
大牌潮款！Gucci古驰3503/ S 矩形女款太阳镜 低至$174.44,,post,大牌潮款！Gucci古驰3503/ S 矩形女款太阳镜 低至$174.44,csvtest,,now,原价$275.00的亚马逊此款Gucci古驰3503/ S 矩形女式太阳镜，现黑色框特价低至$174.44(41%off)，包邮及免费退货。市场最低价！有其它色款可选，价格略异。镜腿Gucci标志，制作精美，大镜框面，提供100%UV防护，配有专属镜盒一个。设计时尚大气，明星出街款，优雅时尚，精致高贵。戴上气度就是不凡！意大利进口。Gucci—意大利时装品牌，由古驰奥·古驰在1921年于佛罗伦斯创办。古驰的产 品包括 时装、皮具、皮鞋、手表、领带、丝巾、香水、家居用品及宠物用品等。古琦品牌时装一向以高档、豪华、性感而闻名于世，以“身份与财富之象征”品牌形象成为 富有的上流社会的消费宠儿，一向被商界人士垂青，时尚之余不失高雅。[Shop Now],http://www.amazon.com/gp/product/B005QL4GH6/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B005QL4GH6&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B005QL4GH6&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
希捷 Seagate 500GB USB 3.0 超薄型便携式移动硬盘 STCD500100 $64.99免运费,,post,希捷 Seagate 500GB USB 3.0 超薄型便携式移动硬盘 STCD500100 $64.99免运费,csvtest,,now,希捷 Seagate 超薄型 500 GB USB 3.0 便携式硬盘 STCD500100 ，原价$99.99，现打折35%仅售$89.99$64.99，免运费。超薄式外形设计，便于携带和使用。USB3.0可以将数据传输速度提高至3倍以上，同时还向下兼容USB 2.0接口的设备。同时适用Windows和MAC操作系统。[Shop Now],http://www.amazon.com/gp/product/B00829THVO/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B00829THVO&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B00829THVO&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
松下 Panasonic EW-BW30S 手腕式白色血压测量仪 $43.99免运费,,post,松下 Panasonic EW-BW30S 手腕式白色血压测量仪 $43.99免运费,csvtest,,now,手腕式血压计人性化设计，为大家带来了很大方便，就像佩戴手表一样简单。便于携带的小巧尺寸，正确测量，确保正确测量的告知功能，确认血压，确认血压状态时一目了然。管理血压，管理每天的测量值，可以记录270个血压值，每周每月趋势图显示。使用便利，显示数值清晰易读。方便老人自己阅读。时刻关注父母的血压，其实就是关注父母的身体健康。但是很多子女为了工作，不能经常陪在父母身边或者经常带父母到医院测量血压。可以考虑帮父母配个电子血压计，按时检测父母的血压状况，关注父母的健康。关注老年人健康，亚马逊四星好评！这款原价$89.99的Panasonic松下 EW-BW30S 手腕式白色血压测量仪现只要$43.99免运费。购买时需点击“Clip This Coupon”才能享受此优惠价格。[Shop Now],http://www.amazon.com/gp/product/B004ACBSZA/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B004ACBSZA&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B004ACBSZA&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
史低！Seiko 精工 SNE179光动能男士腕表 特价$78.24,,post,史低！Seiko 精工 SNE179光动能男士腕表 特价$78.24,csvtest,,now,四星好评！原价$175.00的亚马逊直销此款Seiko 精工SNE179光动能男士腕表，现特价$78.24(55%off)，包邮及免费退货。历史最低价！精工三年质保此款精工光动能腕表，型号：SNE179。采用光动能机芯，充满电可使用六个月（对此类价值不是很高的时装表来说，在佩戴周期内基本不用考虑电池问题）。Hardlex矿物质强化水晶表镜，沉静黑色表盘，表径38MM，三点处日期显示，12、24两种标时。不锈钢表带，防水30M。虽标为男士腕表，但MM佩戴也别有韵味。[Shop Now],http://www.amazon.com/gp/product/B00756GXGM/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B00756GXGM&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B00756GXGM&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
大降！Lenovo IdeaPad U510 15.6英寸i5超级本 $549.99免运费,,post,大降！Lenovo IdeaPad U510 15.6英寸i5超级本 $549.99免运费,csvtest,,now,原价$729.99的Lenovo IdeaPad U510 15.6英寸i5超级本 现打折25%仅售$639.99$549.99免运费。【电脑配置】英特尔酷睿i5-3317U 1.7 GHz处理器，预装Windows 8操作系统，8GB DDR3内存，750GB硬盘+24GB固态硬盘，杜比家庭影院v4 2.0声道立体声音响，集成式720p高清摄像头，英特尔无线显示技术（WiDi技术），带有高速USB 3.0端口，便携超级本，厚度仅0.83英寸，重量仅4.85磅，电池续航6小时。[Shop Now],http://www.amazon.com/gp/product/B00AXVLRD0/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B00AXVLRD0&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B00AXVLRD0&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
亚马逊热销！Summer Infant宝宝三合一多功能座椅 低至$32.40,,post,亚马逊热销！Summer Infant宝宝三合一多功能座椅 低至$32.40,csvtest,,now,149个五星满分好评！原价$49.99的亚马逊直销此款Summer Infant宝宝三合一多功能座椅，现特价低至$32.40(35%off)，包邮及免费退货。此款座椅第1阶段内泡沫垫子支撑住宝宝，帮助宝宝学会坐立，三点式保证宝宝安全；第2阶段，可装上可360度旋转玩具盘，托盘上有4个玩具供玩耍，包括牙胶、镜子、陀螺、响铃；第3阶段，拆下垫子和玩具，变身成宝宝日常座椅。[Shop Now],http://www.amazon.com/gp/product/B001NJC5QY/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B001NJC5QY&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B001NJC5QY&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
美丽大方！18k 镀金纯银非洲紫水晶耳环    $31.00（69%off）免运费,,post,美丽大方！18k 镀金纯银非洲紫水晶耳环    $31.00（69%off）免运费,csvtest,,now,这对圈形耳环是环状为18k 镀金纯银，另有六个非洲充满活力的紫水晶宝石风别镶嵌在戒指上，非常优雅，漂亮！原价$99，现价只需$31.00（69%off）免运费！[Shop Now],http://www.amazon.com/gp/product/B001IDZG2U/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B001IDZG2U&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B001IDZG2U&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
又降！PUR 两段式净水壶可替换滤芯 (4个装) $19.99,,post,又降！PUR 两段式净水壶可替换滤芯 (4个装) $19.99,csvtest,,now,原价$24.99的PUR 两段式净水壶可替换滤芯 (4个装) 现打折20%仅售$19.99。购满$25或亚马逊高级会员免运费。在Amazon已有455个5星满分好评！每个滤芯可过滤40加仑水，可有效减少水中所含的铅和其他杂质、污染物。[Shop Now],http://www.amazon.com/gp/product/B00007E848/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B00007E848&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B00007E848&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
Sassy数字字母认知玩具*84片 特价$9.48,,post,Sassy数字字母认知玩具*84片 特价$9.48,csvtest,,now,四星好评！原价$12.99的亚马逊直销此款Sassy数字字母认知玩具*84片，现特价$9.48(27%off)，会员或购物满$25免运费。轻质安全泡沫材质，共八十四件套，其中包括大写字母A-Z和数字0-9。此套玩具可以让宝宝幼时就开始熟悉认知字母和数字，并通过父母引导，了解字母和数字的读音，掌握最初最简单的朗读和语言技巧，让洗澡变得更生动有趣。色彩鲜艳的字母和数字非常容易黏在浴缸的表面，可以让宝宝在戏水的同时学习字母和数字。[Shop Now],http://www.amazon.com/gp/product/B001IDYCA2/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B001IDYCA2&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B001IDYCA2&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
WOHO 美国花旗参 4盎司 $17.99,,post,WOHO 美国花旗参 4盎司 $17.99,csvtest,,now,原价$25.75的WOHO 美国花旗参 4盎司 现打折30%仅售$17.99，运费为$4.95。花旗参功效众多，如消除疲劳、增强记忆力、保护心血管系统、提高免疫力、促进血液活力、治疗糖尿病等。食用方法多样，如熬汤，泡茶，煮粥等。[Shop Now],http://www.amazon.com/gp/product/B0091K7AN0/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B0091K7AN0&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B0091K7AN0&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
完美肌肤奇迹！Peter Thomas彼得罗夫抗皱紧肤修复精华 30ml   $91.26（36%off）免运费,,post,完美肌肤奇迹！Peter Thomas彼得罗夫抗皱紧肤修复精华 30ml   $91.26（36%off）免运费,csvtest,,now,时光，会在脸上留下岁月的印记，要磨平岁月的痕迹，需要精华液的特别呵护。这款彼得罗夫抗皱紧肤修护精华液即为一款针对面部深层皱纹，表情纹，前额纹等，具有深层抗皱和紧致肌肤功效的精华液。它有可以媲美微整形手术的护肤效果，又比医美中的注射抗皱更有效果。其所含有的23%高浓度胜肽，其中17%活性成分直接作用于皮下组织，通过局部阻断神经传递肌肉收缩讯息，使肌肉放松，以抚平面部皱纹，并减少和预防表情纹的产生；6%活性成分促进肌肤自身胶原蛋白的生成，提升肌肤弹性和强韧度。它的抗氧化效果更是非常好！轻熟龄肌肤现在就可以开始使用啦，精心呵护自己的肌肤，防止提前衰老！Sephora售价$150，现亚马逊售价只需$91.26（36%off）免运费！卖家为亚马逊大卖家Payless Beauty，近8000颗5星好评！质量有保障！[Shop Now],http://www.amazon.com/gp/product/B0079HU4IU/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B0079HU4IU&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B0079HU4IU&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
Yamaha YHT-597 5.1声道家庭影院音响组合 $399.00免运费,,post,Yamaha YHT-597 5.1声道家庭影院音响组合 $399.00免运费,csvtest,,now,原价$649.95的Yamaha YHT-597 5.1声道家庭影院音响组合 现打折39%仅售$399.00免运费。YHT-597家庭影院音响系统，提供高质量视听家庭盛宴！操作简单，设置YPAO声音优化的自动扬声器，5通道功能强大的环绕声（每通道100W），提供直通下一代超高分辨率的图像4K和ECO模式可降低功耗的尖端技术及iPod和iPhone USB连接端口等。支持苹果的Air play，可以轻松的播放ios设备的音乐。[Shop Now],http://www.amazon.com/gp/product/B007PU2X6C/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B007PU2X6C&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B007PU2X6C&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
"降价了！BenQ 明基W7000 300英寸3D+1080P投影仪 $1,499.00",,post,"降价了！BenQ 明基W7000 300英寸3D+1080P投影仪 $1,499.00",csvtest,,now,"亚马逊直销此款BenQ 明基W7000 300英寸3D+1080P投影仪，原价$1,999.00，现特价$1,799.00(10%off)$1,499.00(25%off)，包邮。 市场最低价！采用德州仪器DLP数字光学处理投影技术，全高清FULL HD(1920×1080)分辨率，有效亮度提升到2500流明，使用6倍速色轮及动态光圈技术，可提供更加鲜艳的色彩及更为纯净深邃的黑画面，同时镜头支持垂直位移，支持1.5倍变焦，可在3.44米左右的距离才可投射100英寸屏幕，便于家装。双HDMI1.4a接口，拥有ISF调校/镜头位移/Panamorph 镜头兼容等功能。另外，投影仪支持DLP 3D技术，只需要一个3D信号源，例如一张支持3D 输出的显卡，以及一副兼容DLP Link的带有主动式快门的3D眼镜。无需出门，即可欣享到家庭视听盛宴。[Shop Now]",http://www.amazon.com/gp/product/B006HIKIKQ/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B006HIKIKQ&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B006HIKIKQ&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
