csv_post_title,csv_post_post,csv_post_type,csv_post_excerpt,csv_post_categories,csv_post_tags,csv_post_date,desc,link
限时闪购！Sublime 5305 Imprint抗疲劳舒适垫（20×36英寸）$54.99免运费,,post,限时闪购！Sublime 5305 Imprint抗疲劳舒适垫（20×36英寸）$54.99免运费,csvtest,,now,"

数量、时间有限，欲购从速！原价$99.99的Sublime 5305 Imprint抗疲劳舒适垫 现打折45%仅售$69.28 $54.99免运费。购买时请点击页面右上方“View Gold Box Offer”黄色按钮查看优惠价格。
可以铺放在任何您需要的地方。例如床边、卫生间/浴室、厨房等！您甚至可以光脚踩在上面切菜、烹饪。强力有效的抵抗疲劳，让您舒适的工作和生活。
持久耐用，清洁起来非常的方便。[ Shop Now ]


",
延长一天！GNC官网：热门保健品3件只要$25+全场$1运费+满$10送金卡！,,post,延长一天！GNC官网：热门保健品3件只要$25+全场$1运费+满$10送金卡！,csvtest,,now,"

延长一天！GNC官网多款热门保健品3件只要$25+全场$1运费。另外，购物满$10即可获赠1年金卡会员（无需折扣码，满$10自动赠送）！GNC金卡会员可以在GNC官网以及全美的实体店享受会员独享价格（高达50% OFF）。
三重功效鱼油（GNC Triple Strength Fish Oil）降低血脂和保护心血管
女性多重复合维生素（GNC Women’s Ultra Mega）
 男性多重复合维生素（GNC Mega Men）[ Shop Now ]


",
STM Bags Scout Medium 单肩包 $28.49免运费,,post,STM Bags Scout Medium 单肩包 $28.49免运费,csvtest,,now,"

原价$69.99的STM Bags Scout Medium 单肩包现在打折59%，仅售$28.49免运费。
STM是澳大利亚著名的背包品牌，其品牌背包《谍影重重》中也有亮相。这款Scout单肩包是其热门产品，包身采用防水帆布材质，内衬使用210D防水尼龙。采用三层收纳设计。上层为专门的笔记本电脑隔层，由高密度衬垫和防震毛毡衬里构成，并配有尼龙搭扣。隔层可容纳15英寸笔记本电脑。中层是全尺寸大口袋，可以放文件，书本等物件。两个前袋可以放置电脑配件，线材，钥匙等杂物。另有可调节可拆卸背带，可分离钥匙扣。[ Shop Now ]


",
宝路华Bulova 男式96A137自动机械腕表 $187.65免运费,,post,宝路华Bulova 男式96A137自动机械腕表 $187.65免运费,csvtest,,now,"

大降，历史新低！！原价$499的宝路华Bulova 男式96A137自动机械腕表现在打折62%，仅售$187.65免运费。相比我们4月份提到的价格，下降了$94。其它商家给出的价格至少在$250以上。
此款自动上链机械机芯，坚固矿物水晶表镜，蓝色表盘，圆形镂空设计，可清晰观察到自动机芯运转，平添了几分趣味与观赏价值，精钢表壳与表链，表径46毫米，100米防水，三年质保！整体设计清新爽约，简洁优雅。[ Shop Now ]


",
Nautica诺帝卡 Milled Passcase 男式真皮钱包 用折扣码后 $15.33,,post,Nautica诺帝卡 Milled Passcase 男式真皮钱包 用折扣码后 $15.33,csvtest,,now,"

原价$34的Nautica诺帝卡 Milled Passcase 男式真皮钱包现在打折44%，仅售$19.16。结账时使用折扣码“2OMAYCAP”可再减20%，最终只需$15.33。购满$25或亚马逊高级会员免运费。
采用100%牛皮材质，4个信用卡卡位，有用于存放现金的隔层。两种颜色可选，价格略有不同。[ Shop Now ]


",
市场最低价！Toshiba东芝Canvio 1TB USB 3.0 便携移动硬盘 $69.99免运费,,post,市场最低价！Toshiba东芝Canvio 1TB USB 3.0 便携移动硬盘 $69.99免运费,csvtest,,now,"

原价$119.99的Toshiba东芝Canvio 1TB USB 3.0 便携移动硬盘 现打折42%仅售$69.99免运费。其它商家给出的价格都在$75以上。
USB3.0现在已成大势所趋，USB 3.0可以让数据传输速度提高到原来的3倍以上，并能向下兼容USB2.0接口。1TB（=1024 GB）大容量存储，可以为数据进行密码安全加密保护。小巧便携。
[ Shop Now ]


",
Swiss Legend 11852C-017-BLK 迷彩表盘男表 $45.99免运费,,post,Swiss Legend 11852C-017-BLK 迷彩表盘男表 $45.99免运费,csvtest,,now,"

大降！！原价$395的Swiss Legend 11852C-017-BLK 迷彩表盘男表现在打折88%，仅售$45.99免运费。

矿物晶体镜面
不锈钢表盘
硅胶表带
日期显示
瑞士石英机芯
100米防水

[ Shop Now ]


",
Burt’s Bees小蜜蜂 岁月无痕石榴平皱眼霜 $11免运费,,post,Burt’s Bees小蜜蜂 岁月无痕石榴平皱眼霜 $11免运费,csvtest,,now,"

原价$24.99的Burt’s Bees小蜜蜂 岁月无痕石榴平皱眼霜（0.5盎司）现在打折56%，仅售$11免运费。
内含超强抗氧化功能的石榴精华、葵花籽油、橄榄油、月见草油等多种纯天然草本精华，质地超级轻薄，不会感觉油腻和厚重。能够有效的帮助淡化眼周娇嫩肌肤皱纹的同时，还可改善眼部的肿胀及暗沉的黑眼圈。[ Shop Now ]


",
Samsung三星 UN32EH5300 1080p 32寸高清智能电视 $348免运费,,post,Samsung三星 UN32EH5300 1080p 32寸高清智能电视 $348免运费,csvtest,,now,"

原价$499.99的Samsung三星 UN32EH5300 1080p 32寸高清智能电视现在降价$151.99，仅售$348免运费。
此款为三星智能电视，支持Wifi。采用了三星特有的Smart Hub智能应用中心，其特色是可连接、显示并播放所有连接设备内容，并展示在同一界面内。[ Shop Now ]


",
Street by 50 Cent 头戴式降噪耳机 $99.91 免运费,,post,Street by 50 Cent 头戴式降噪耳机 $99.91 免运费,csvtest,,now,"

原价$249.95的Street by 50 Cent 头戴式耳机（白色）现在打折60%，仅售$99.91 免运费。其它商家给出的价格至少在$169以上。
Street by 50 Cent 是目前最火的三个耳机品牌之一（魔声Beats、Ludacirs旗下的SOUL系列、 SMS STREET by 50 Cent系列）。超软海绵泡沫隔音耳罩，贴心舒适；全尺寸头戴耳机材料可调节尺度，耐用抗张力；专业调音的40mm尺寸单元扬声器内置降噪系统，专利THUMPP 可增强调节系统以满足不同音乐风格的需求。被动式噪音消除功能强大，特别适合在飞机上使用。[ Shop Now ]


",
仅限今天！ER: The Complete Seasons 1-15 DVD全集 $149.11免运费,,post,仅限今天！ER: The Complete Seasons 1-15 DVD全集 $149.11免运费,csvtest,,now,"

仅限今天，Amazon金盒特价！原价$678.82的ER: The Complete Seasons 1-15 DVD全集现在打折78%，仅售$149.11免运费。其它商家给出的价格至少在$300以上。
自1994年开播以来，ER 急诊室的故事（Emergence Room）共获得创纪录的21项艾美奖及115项提名，讲述发生在美国芝加哥一家急诊室的故事，这里每天收治的都是需要急救的病人，每位医护人员都用自己的高超的医术和仁慈的爱心对每一位患者进行救助。如今炙手可热的好莱坞男星乔治·克鲁尼（George Clooney）正是因该剧走红，他在1999 年离开荧屏投身大银幕。[ Shop Now ]


",
Sceptre 38.5寸 1080p LCD高清电视只要$278,,post,Sceptre 38.5寸 1080p LCD高清电视只要$278,csvtest,,now,"

Walmart：Sceptre  38.5寸 1080p LCD高清电视, 型号：X409BV-FHD, 现价 $278.是目前我们所能找到的最低价，Amazon上同款卖价为$359。店内取货免运费.
【配置/性能】
38.5寸液晶显示屏，1920×1080全高清分辨率，60Hz频率，3个HDMI输入等等。
[ Shop Now ]


",
古琦GUCCI GUILTY POUR HOMME 男士古龙香水3.0 oz只要$52.39 包邮,,post,古琦GUCCI GUILTY POUR HOMME 男士古龙香水3.0 oz只要$52.39 包邮,csvtest,,now,"

eBay上有古琦GUCCI GUILTY POUR HOMME 男士古龙香水3.0 oz只要$52.39。用Guilty Pour Homme香水的男性知道自己要什么，并努力得到自己想要的东西。这种具有超凡魅力的男性，对于女人来说就像磁铁一样，他们的特质在这款煽动、诱人的香水中得到了淋漓尽致的表达。Gucci的Gucci Guilty原罪香水一直是女士的最爱，而最近正式推出了男士版“Gucci Guilty Pour Homme Gucci”，同样是由好莱坞明星埃文·雷切尔·伍德(Evan RACHEL Wood) 和 克里斯·埃文斯(Chris Evans) 共同代言，拍摄了最新的时尚大片。卖家是eBay上的Top-rated seller：thefragrancewholesalers，有5万多积分，99.5%好评率，是非常可靠的卖家！
前调：柠檬、薰衣草
中调：橙花
基调：广藿香和雪松
【品牌介绍】：古驰–永恒而经典并深受明星们的青睐，品牌灵感源自演员，公主和名媛等杰出女性。如今其创作总监：弗里达·贾娜妮(Frida Giannini),将这一历史悠久的品牌推向了全新的高度。其产品包括：经典鞋履，奢华手袋，珠宝手表与香氛等。[ Shop Now ]


",
Sony索尼64GB UHS1 R40 Class 10 High Speed SDHC/SDXC存储卡$36.95 免运费,,post,Sony索尼64GB UHS1 R40 Class 10 High Speed SDHC/SDXC存储卡$36.95 免运费,csvtest,,now,"

eBay上有Sony索尼64GB UHS1 R40 Class 10 High Speed SDHC/SDXC 存储卡现价$36.95，免运费。卖家是eBay上的热门卖家，adoramacamera，积分达16万，好评率99.8%，这款商品已售出87。
高达40MB/s的传输速度。与多个SDHC/SDXC硬件设备兼容。单反相机和全高清摄像机都可用。文件抢救下载软件可帮助恢复已被意外删除或损坏的照片和视频。支持3D/HD文件。[ Shop Now ]


",
Anne Klein 女式眼镜只要$29.99（74% 折扣） 包邮,,post,Anne Klein 女式眼镜只要$29.99（74% 折扣） 包邮,csvtest,,now,"

超过420人购买！groupon上有Anne Klein 女式眼镜原价为$117，现团购价只要$29.99（74%折扣），有27款可供选择，时尚抢眼。支持免费送货和退货！
折扣截止日期：2013年5月23日！
简洁俐落的纽约式风格高级时装品牌ANNE KLEIN，被认为是“美国时尚风格”的代表品牌之一 。以运动休闲服起家的Anne Klein，对于纽约的时尚风格演变影响深远功不可没.ANNE KLEIN将精明干练与性感迷糊两种截然不同的性格融合于一体，展现女人在职场中的完美与性感。强调女性的优雅与品牌的简约风格，营造都会女人精干中的感性。Anne Klein今年新品充满着诱人的魅力。怀旧的风潮幻化为现代的优雅及高贵气质。男性化及柔美的设计风格交织成为今季的时尚。[ Shop Now ]


",
Swarovski施华洛世奇元素红宝石心形项链$7.99（89%的折扣）免费退货 运费$2.99,,post,Swarovski施华洛世奇元素红宝石心形项链$7.99（89%的折扣）免费退货 运费$2.99,csvtest,,now,"

已经有超过940人购买啦！Groupon上有原价$75的Swarovski施华洛世奇元素红宝石心形项链，现折扣89%仅售$7.99，免费退货，运费$2.99。
施华洛世奇 （SWAROVSKI）是世界上首屈一指的水晶制造商，每年为时装、首饰及水晶灯等工业提供大量优质的切割水晶石。同时施华洛世奇也是以优质、璀璨夺目和高度精确的水晶和相关产品闻名于世的水晶工艺品品牌。
红色心形吊坠，18英寸纯银链，抛光。带有浪漫色彩的红宝石心形项链是送给女朋友，妻子很好的礼物哦！
折扣截止日期：2013年5月23日。[ Shop Now ]


",
Swiss Legend 男士手表只要$45.99（88% 折扣） 包邮,,post,Swiss Legend 男士手表只要$45.99（88% 折扣） 包邮,csvtest,,now,"

销售火爆，已超过1000人购买！ Groupon上有Swiss Legend 男士手表原价为$395，现团购价只要$45.99（88%折扣，立省$349.01)，24种样式可供选择，价格略有不同，这款手表成熟大气，不论是送人还是自用都不错哦！支持免费送货和退货！

模拟显示
不锈钢表壳
瑞士石英机芯
防水100米

折扣截止日期：2013年5月23日！[ Shop Now ]


",
极乐五功能双淋浴喷头$24.99（64%的折扣）免运费 免费退货,,post,极乐五功能双淋浴喷头$24.99（64%的折扣）免运费 免费退货,csvtest,,now,"

已经有超过1000人购买啦！Groupon上有原价$69.96的极乐五功能双淋浴喷头，现折扣64%仅售$24.99，免运费，免费退货。
有2个可供淋浴的喷头；可拆卸的淋浴棒；60″不锈钢软管；每个喷头都有5个功能；包括安装臂，三个橡胶垫圈，支架，铁氟龙胶带。
折扣截止日期：2013年5月24日。[ Shop Now ]


",
仅限加拿大！Aquaswiss男女式钻石手表C$149.99（90%折扣）免运费,,post,仅限加拿大！Aquaswiss男女式钻石手表C$149.99（90%折扣）免运费,csvtest,,now,"

仅限加拿大，430多人购买。Groupon上有原价C$1,495的Aquaswiss男女式钻石手表，现折扣90%仅售C$149.99，免运费，免费退货。7种款式可选。机会不容错过哦！
不锈钢表壳，瑞士Ronda机芯，夜光表针，防水设计，表壳尺寸：40.5mm（长）*34mm（宽）。
Aquaswiss起源于瑞士，所有Aquaswiss手表防水性都达到330英尺，表盘高硬度，由防刮摔的蓝宝石水晶打磨而成而且款式永不过时。Aquaswiss瑞士水绿手表是瑞士名表的典范之作。而且，它一直是奢侈品的代名词，要么正式优雅，要么低调奢华，是职场人士不错的选择哦！不论是送人还是自用都不错哦！
折扣截止日期：2013年5月22日。[ Shop Now ]


",
Kensie百慕达短裤$28.99（57%的折扣）免运费 免费退货,,post,Kensie百慕达短裤$28.99（57%的折扣）免运费 免费退货,csvtest,,now,"

已经有超过170人购买了。Groupon上原价$68的Kensie百慕达短裤，现折扣57%仅售$28.99，免运费，免费退货。3种款式可选。
创办于1999年的Kensie是知名美国女装品牌， 其设计灵感来源于追求自我风格的摩登女性，这类女性享受都市生活，思想不易被别人影响。Kensie女装致力于将T台元素运用到设计当中，色彩，印花以及剪裁都十分大胆独特， 让人耳目一新，并此基础上为客户提供可接受的价格。值得一提的是Kensie十分注重品牌营销，其每季广告片，宣传册都给人以强烈的视觉冲击，且主题鲜明统一，其目标客户为18-35岁的都市女性。
折扣截止日期：2013年5月24日。[ Shop Now ]


",
Clarks其乐 Sektor 男式皮鞋 $54.52免运费,,post,Clarks其乐 Sektor 男式皮鞋 $54.52免运费,csvtest,,now,"

原价$90的Clarks其乐 Sektor 男式皮鞋（Brown Leather）现在打折39%，仅售$54.52免运费。有三种颜色可选，价格略有不同。
采用全粒面真皮材质，透气网眼以及皮革内衬，橡胶鞋底，四眼系带设计。[ Shop Now ]


",
Plantronics缤特力 Gamecom X95 无线游戏耳麦 $49.99免运费,,post,Plantronics缤特力 Gamecom X95 无线游戏耳麦 $49.99免运费,csvtest,,now,"

原价$99的Plantronics缤特力 Gamecom X95 无线游戏耳麦现在打折50%，仅售$49.99免运费。其它商家给出的价格至少在$78以上。
采用帖耳式设计和40mm扬声器，特殊设计的耳垫使得长时间佩戴也不会感到不适，带音量控制和麦克风静音按键。[ Shop Now ]


",
Seagate希捷 Expansion 1TB USB 3.0 2.5寸移动硬盘 $24.99+$4运费,,post,Seagate希捷 Expansion 1TB USB 3.0 2.5寸移动硬盘 $24.99+$4运费,csvtest,,now,"

TigerDirect 现提供售价为$94.99的Seagate希捷 Expansion 1TB USB 3.0 2.5寸移动硬盘+Total Defense Premium Internet Security 防毒软件。使用这个$70 mail-in rebate，最终只需$24.99，运费需$4左右。促销5月31日截止。其它商家给出的价格至少在$70以上。
注意：使用rebate之前，须先激活上面这款防毒软件，激活时须提供信用卡/储蓄卡的信息，但是在一年内可以随时取消，无需任何费用。
此款希捷硬盘外观设计简洁时尚。USB3.0现在已成大势所趋，USB 3.0可以让数据传输速度提高到原来的3倍以上，并能向下兼容USB2.0接口。[ Shop Now ]


",
明天截止！INTEL英特尔 335 180GB 2.5寸固态硬盘 $129.99免运费,,post,明天截止！INTEL英特尔 335 180GB 2.5寸固态硬盘 $129.99免运费,csvtest,,now,"

TigerDirect现将原价$199.99的INTEL英特尔 335系列 180GB 2.5寸固态硬盘降价$30，仅售$169.99。使用这个$40 mail-in rebate，最终价格仅为$129.99免运费。其它商家给出的价格至少在$175以上。促销将于5月21日截止。
英特尔在去年11月上市了335系列SSD，用于升级换代330系列产品，改进主要来自闪存，总计有16颗，每一面有8颗，每个NAND颗粒中封装了2颗8GB 20nm MLC核心。[ Shop Now ]


",
Angel Soft 双层超柔卫生纸 (40卷) 点击coupon后 $16.92免运费,,post,Angel Soft 双层超柔卫生纸 (40卷) 点击coupon后 $16.92免运费,csvtest,,now,"

原价$29.44的Angel Soft 双层超柔卫生纸 (40卷) 现在打折36%，仅售$18.86。选择“Subscribe and Save”方式购买，价格降为$17.92并免运费。货物寄出后可随时取消“Subscribe and Save”，无额外费用。点击页面中的“Clip this coupon”可再减$1（须登陆Amazon账号才能看见），最终只要$16.92免运费。
超级柔软且柔韧性能好，双层加厚，相当于普通卫生纸的80卷。每卷有264节。溶水性好，不必担心会堵塞马桶。[ Shop Now ]


",
Tommy Hilfiger 男式三折钱包 用折扣码后 $16.84,,post,Tommy Hilfiger 男式三折钱包 用折扣码后 $16.84,csvtest,,now,"

原价$42的Tommy Hilfiger 男式三折钱包现在打折50%，仅售$21.05。结账时使用折扣码“2OMAYCAP”可再减20%，最终只需$16.84。购满$25或亚马逊高级会员免运费。
采用100%牛皮材质，三折式设计，9个信用卡卡位，有用于存放现金的隔层。两种颜色可选，价格略有不同。[ Shop Now ]


",
Calvin Klein 38mm 可反穿皮带 用折扣码后 $25.96免运费,,post,Calvin Klein 38mm 可反穿皮带 用折扣码后 $25.96免运费,csvtest,,now,"

原价$45的Calvin Klein 38mm 可反穿皮带现在打折28%，仅售$32.45。结账时使用折扣码“2OMAYCAP”可再减20%，最终只需$25.96免运费。经典设计，带有鳄鱼纹路；可反穿，正面黑色，反面棕色。[ Shop Now ]


",
Jamie Oliver by T-fal C9421964 不粘锅 点击coupon后 $23.99免运费,,post,Jamie Oliver by T-fal C9421964 不粘锅 点击coupon后 $23.99免运费,csvtest,,now,"

原价$49.99的Jamie Oliver by T-fal C9421964 不粘锅现在打折40%，仅售$29.99。点击页面中的“Clip this coupon”可再减$6（须登陆Amazon账号才能看见），最终只要$23.99免运费。
带佳温红心 (Thermo-Spot是设在锅内的中央热能感应装置， 会随著温度改变颜色)；采用硬质氧化不粘涂层，易于清洗；终身质保。[ Shop Now ]


",
Thermos膳魔师 40盎司容量不锈钢防漏保温杯 $21.59,,post,Thermos膳魔师 40盎司容量不锈钢防漏保温杯 $21.59,csvtest,,now,"

原价$34.99的Thermos膳魔师 40盎司容量不锈钢防漏保温杯现在打折38%，仅售$21.59。购满$25或亚马逊高级会员免运费。
此款保温杯采用50mm宽口径设计，方便装填和清洁。杯盖可拿下当做水杯用，杯塞为旋转设计，自带出水槽，方便倒水，杯体为双层不锈钢真空保温。可保热24小时（79度以上6小时）、保冷24小时。容量为40盎司（1.2升）。[ Shop Now ]


",
Apple TV MD199LL/A (最新款) $89.99 – 比官网省$20,,post,Apple TV MD199LL/A (最新款) $89.99 – 比官网省$20,csvtest,,now,"

原价$99的Apple TV MD199LL/A (最新款) 现在降价$9，仅售$89.99。在亚马逊购买大多数州还能免消费税，总计可省约$20！
Apple TV 是苹果生态环节里面很重要的一个环节，能够将你所有的苹果设备同电视联动起来。新一代的Apple TV 处升级为单核A5处理器，支持1080P 高清视频播放。内存由256M 升级为512M。支持无线传输电视节目，支持iTunes Match，支持Genius，支持在线下载视频，支持照片流，现在所有IOS设备的照片可以直接云端传送到Apple TV上。接口有保持不变：USB接口、WiFi、以太网接入、HDMI输出接口等等。
[ Shop Now ]


",
